date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2025-12-01,601615,13.56,13.34,13.57,13.21,333388,444435506.0,2.65,-1.69,-0.23,1.47
2025-12-02,601615,13.29,13.27,13.35,13.06,199163,263193380.0,2.17,-0.52,-0.07,0.88
2025-12-03,601615,13.27,13.29,13.53,13.17,412658,551079258.0,2.71,0.15,0.02,1.82
2025-12-04,601615,13.3,13.19,13.36,13.1,254515,335575263.0,1.96,-0.75,-0.1,1.12
2025-12-05,601615,13.21,13.7,13.85,13.13,534424,727267346.0,5.46,3.87,0.51,2.35
2025-12-08,601615,13.73,13.69,13.85,13.57,365912,502230464.0,2.04,-0.07,-0.01,1.61
2025-12-09,601615,13.75,13.44,13.76,13.39,225334,304732102.0,2.7,-1.83,-0.25,1.0
2025-12-10,601615,13.49,13.4,13.49,13.08,241049,318798979.0,3.05,-0.3,-0.04,1.07
2025-12-11,601615,13.4,13.61,14.05,13.4,529040,729330273.0,4.85,1.57,0.21,2.34
2025-12-12,601615,13.62,13.6,13.72,13.38,292739,396365661.0,2.5,-0.07,-0.01,1.29
2025-12-15,601615,13.63,13.65,13.92,13.54,313705,430726212.0,2.79,0.37,0.05,1.39
2025-12-16,601615,13.88,14.03,14.58,13.71,736188,1042562334.0,6.37,2.78,0.38,3.26
2025-12-17,601615,14.01,13.94,14.18,13.21,785354,1069318233.0,6.91,-0.64,-0.09,3.47
2025-12-18,601615,13.79,13.77,13.95,13.62,326147,449653499.0,2.37,-1.22,-0.17,1.44
2025-12-19,601615,13.78,13.85,14.0,13.66,314238,434389484.0,2.47,0.58,0.08,1.39
2025-12-22,601615,13.87,13.97,14.2,13.79,325958,457428539.0,2.96,0.87,0.12,1.44
2025-12-23,601615,14.1,14.3,14.57,14.1,568026,817652621.0,3.36,2.36,0.33,2.51
2025-12-24,601615,14.18,14.51,14.55,13.92,353725,508145800.0,4.41,1.47,0.21,1.56
2025-12-25,601615,14.48,14.72,14.77,14.35,348024,507925288.0,2.89,1.45,0.21,1.54
2025-12-26,601615,14.71,14.73,14.94,14.6,496135,733016845.0,2.31,0.07,0.01,2.19
2025-12-29,601615,15.05,14.77,15.37,14.7,636138,954744979.0,4.55,0.27,0.04,2.81
